ItemNumber,Xpos,Ypos,image,Species,Annotator
32,8494.5 px,16806.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
33,8418.5 px,16793.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
34,8280.5 px,16942.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
35,8387.5 px,16897.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
36,13999.5 px,13425.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
37,14095.5 px,13396.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
38,14092.5 px,13527.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
39,13433.5 px,12843.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
40,13153.5 px,12845.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
41,14073.5 px,13161.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
42,13988.5 px,13092.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
43,14107.5 px,12525.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
44,14134.5 px,19921.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
45,10789.5 px,24384.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
46,10749.5 px,24437.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
47,10855.5 px,24302.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
48,10764.5 px,24291.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
49,10520.5 px,24262.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
50,9647.5 px,26915.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
51,9533.5 px,26958.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
52,9593.5 px,27055.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
53,9445.5 px,27076.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
54,7714.5 px,24696.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
55,9049.5 px,24064.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
56,8802.5 px,23327.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
57,9017.5 px,23405.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
58,9232.5 px,23309.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
59,8380.5 px,22881.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
60,9332.5 px,22447.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
61,9471.5 px,22705.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
62,16924.5 px,20481.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
63,17171.5 px,20596.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
64,17114.5 px,20531.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
65,16969.5 px,20382.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
66,18826.5 px,21877.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
67,11972.5 px,5127.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
68,12172.5 px,5302.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
69,12409.5 px,5208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
70,12151.5 px,6234.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
71,12088.5 px,10838.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
72,12212.5 px,10782.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
73,12117.5 px,13620.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
74,12228.5 px,13732.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
75,12362.5 px,17137.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
76,12761.5 px,17095.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
77,9411.5 px,26062.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
78,9432.5 px,25959.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
79,9656.5 px,26208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
80,9505.5 px,25833.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
81,9578.5 px,26334.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
82,10106.5 px,25011.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
83,10136.5 px,25192.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
84,8812.5 px,24372.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
85,9214.5 px,24755.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
86,9561.5 px,24506.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
87,9403.5 px,23842.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
88,9394.5 px,23990.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
89,9787.5 px,24139.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
90,8901.5 px,24240.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
91,8987.5 px,23531.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
92,5140.5 px,33552.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
93,5294.5 px,33737.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
94,5308.5 px,33789.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
95,5333.5 px,33890.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
96,5175.5 px,33884.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
97,4492.5 px,33251.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
98,6547.5 px,33097.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
99,6673.5 px,33070.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
100,17139.5 px,14567.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
101,16511.5 px,13977.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
102,16583.5 px,14581.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
103,16644.5 px,14342.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
104,16652.5 px,14445.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
105,16538.5 px,14488.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
106,16092.5 px,18724.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
107,16480.5 px,19262.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
108,15093.5 px,9638.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
109,14674.5 px,10104.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
110,14857.5 px,11257.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
111,15132.5 px,15261.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
112,14491.5 px,16172.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
113,14771.5 px,16114.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
114,14614.5 px,18840.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
115,14736.5 px,18639.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
116,14652.5 px,19093.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
117,14712.5 px,19133.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
118,14377.5 px,19830.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
119,14266.5 px,19820.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
120,14258.5 px,19600.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
121,14307.5 px,21517.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
122,14370.5 px,21586.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
123,13584.5 px,10977.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
124,13745.5 px,11909.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
125,13683.5 px,11811.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
126,13456.5 px,12285.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
127,13736.5 px,14265.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
128,14228.5 px,16316.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
129,14202.5 px,19687.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
130,11860.5 px,10329.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
131,11796.5 px,11026.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
132,11764.5 px,10902.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
133,12868.5 px,12861.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
134,11931.5 px,14008.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
135,11937.5 px,14176.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
136,12210.5 px,14154.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
137,12537.5 px,14171.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
138,12329.5 px,17968.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
139,12441.5 px,19173.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
140,12100.5 px,19911.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
141,12897.5 px,20746.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
142,12935.5 px,20867.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
143,12800.5 px,22762.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
144,12048.5 px,26086.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
145,11737.5 px,26268.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
146,11710.5 px,5257.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
147,10605.5 px,7014.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
148,10824.5 px,7220.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
149,10803.5 px,7427.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
150,10744.5 px,9288.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
151,11455.5 px,9961.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
152,11356.5 px,10183.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
153,11524.5 px,10394.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
154,11716.5 px,10872.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
155,11504.5 px,16621.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
156,11553.5 px,16611.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
157,11451.5 px,16948.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
158,11648.5 px,17349.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
159,11689.5 px,18072.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
160,10792.5 px,20957.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
161,10934.5 px,22901.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
162,10938.5 px,22864.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
163,10839.5 px,22927.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
164,10819.5 px,28565.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
165,10926.5 px,28480.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
166,10054.5 px,8997.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
167,9789.5 px,19903.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
168,10164.5 px,20465.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
169,10036.5 px,20412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
170,9710.5 px,20527.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
171,10130.5 px,20185.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
172,9891.5 px,20778.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
173,9835.5 px,20773.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
174,9776.5 px,21643.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
175,9319.5 px,23855.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
176,10191.5 px,24760.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
177,10225.5 px,24898.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
178,10248.5 px,25207.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
179,9904.5 px,25165.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
180,10070.5 px,24744.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
181,9894.5 px,24929.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
182,10101.5 px,25412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
183,10348.5 px,25412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
184,9856.5 px,30052.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
185,10029.5 px,30336.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
186,8936.5 px,10025.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
187,8747.5 px,10037.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
188,8229.5 px,14804.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
189,7935.5 px,14999.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
190,8318.5 px,15265.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
191,8172.5 px,15511.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
192,8162.5 px,15799.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
193,7964.5 px,15978.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
194,8282.5 px,16020.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
195,8726.5 px,19337.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
196,8442.5 px,19479.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
197,8596.5 px,19552.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
198,8475.5 px,19832.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
199,9107.5 px,21543.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
200,8905.5 px,22729.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
201,8324.5 px,23193.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
202,8200.5 px,23805.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
203,7911.5 px,23719.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
204,8790.5 px,27518.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
205,8835.5 px,27377.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
206,7668.5 px,14195.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
207,7870.5 px,13993.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
208,7487.5 px,14839.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
209,7472.5 px,14935.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
210,7521.5 px,14946.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
211,7434.5 px,15099.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
212,7373.5 px,15028.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
213,7316.5 px,14900.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
214,7034.5 px,14854.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
215,6906.5 px,15385.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
216,7215.5 px,15326.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
217,6670.5 px,20205.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
218,7503.5 px,20227.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
219,7000.5 px,20690.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
220,5041.5 px,17781.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
221,4914.5 px,18000.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
222,4821.5 px,18330.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
223,4787.5 px,34184.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
224,4876.5 px,34692.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
225,4327.5 px,37785.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
226,4210.5 px,35506.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
227,4658.5 px,35477.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
228,4462.5 px,34876.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
229,4560.5 px,34948.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
230,4617.5 px,34847.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
231,4726.5 px,34826.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Wood Stork,HC
232,10927.5 px,23057.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
233,9816.5 px,22893.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
234,10643.5 px,25621.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
235,9545.5 px,26069.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
236,17947.5 px,25888.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
237,17026.5 px,25960.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
238,18540.5 px,25314.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
239,17096.5 px,21864.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
240,16988.5 px,19813.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
241,17646.5 px,19817.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
242,8171.5 px,17132.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
243,15609.5 px,13111.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
244,16881.5 px,13920.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
245,14083.5 px,10655.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
246,15154.5 px,10975.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
247,15892.5 px,11497.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
248,16579.5 px,11580.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
249,8459.5 px,8647.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
250,9885.5 px,7573.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
251,10257.5 px,8268.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
252,11740.5 px,7074.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
253,11387.5 px,7190.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
254,12649.5 px,6665.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
255,13373.5 px,7620.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
256,13381.5 px,6813.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
257,11922.5 px,4304.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
258,10300.5 px,4215.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
259,9478.5 px,4545.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
260,9054.5 px,6103.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
261,9222.5 px,6761.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
262,9966.5 px,7092.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
263,6789.5 px,49158.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
264,12948.5 px,47467.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
265,14288.5 px,50978.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
266,13949.5 px,59371.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
267,7429.5 px,44220.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
268,5903.5 px,42593.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
269,7616.5 px,40583.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
270,6352.5 px,39143.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
271,5993.5 px,36250.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
272,7009.5 px,31591.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
273,13692.5 px,41546.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
274,13795.5 px,38825.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
275,14262.5 px,38009.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
276,13358.5 px,35531.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
277,14398.5 px,22850.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
