ItemNumber,Xpos,Ypos,image,Species,Tile
50,11276.5 px,10946.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2071
51,13275.5 px,10856.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2072
52,12245.5 px,11384.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2073
53,12255.5 px,11190.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2074
54,12500.5 px,12216.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2075
55,12457.5 px,12315.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2076
56,12668.5 px,12630.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2077
57,11074.5 px,12827.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2078
58,11004.5 px,12902.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2079
59,9013.5 px,11892.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2080
60,7828.5 px,12149.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2081
61,8342.5 px,12695.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2082
62,9637.5 px,12367.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2083
63,46433.5 px,18544.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2084
64,46401.5 px,18856.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2085
65,24626.5 px,17917.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2086
66,24134.5 px,17885.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2087
67,24355.5 px,18441.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2088
68,20480.5 px,20206.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2089
69,22382.5 px,20064.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2090
70,22442.5 px,20060.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2091
71,20563.5 px,20155.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2092
72,21182.5 px,19665.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2093
73,21369.5 px,19792.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2094
74,21917.5 px,19882.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2095
75,24192.5 px,19881.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2096
76,24199.5 px,19955.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2097
77,24171.5 px,20009.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2098
78,24104.5 px,20097.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2099
79,24052.5 px,20220.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2100
80,46412.5 px,19514.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2101
81,45337.5 px,20262.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2102
82,25458.5 px,21913.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2103
83,25137.5 px,21376.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2104
84,25130.5 px,21404.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2105
85,25574.5 px,21276.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2106
86,22134.5 px,20846.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2107
87,22172.5 px,20817.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2108
88,21262.5 px,20756.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2109
89,21252.5 px,20788.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2110
90,21055.5 px,21324.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2111
91,21003.5 px,21367.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2112
92,20859.5 px,21376.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2113
93,21885.5 px,22223.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2114
94,21638.5 px,22736.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2115
95,23282.5 px,22197.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2116
96,23268.5 px,22162.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2117
97,23470.5 px,22837.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2118
98,23493.5 px,22830.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2119
99,23319.5 px,22977.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2120
100,22444.5 px,23109.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2121
101,24582.5 px,23015.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2122
102,24593.5 px,22932.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2123
103,24488.5 px,22720.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2124
104,24662.5 px,22489.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2125
105,24588.5 px,22494.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2126
106,24783.5 px,22033.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2127
107,24228.5 px,22806.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2128
108,21661.5 px,23770.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2129
109,21627.5 px,23757.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2130
110,21595.5 px,23922.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2131
111,21646.5 px,23934.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2132
112,22813.5 px,23623.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2133
113,22802.5 px,23578.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2134
114,22670.5 px,23570.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2135
115,22832.5 px,23365.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2136
116,23378.5 px,23247.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2137
117,23323.5 px,23265.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2138
118,23347.5 px,23418.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2139
119,23390.5 px,23390.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2140
120,23449.5 px,23716.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2141
121,23474.5 px,23670.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2142
122,23760.5 px,23960.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2143
123,21215.5 px,24744.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2144
124,21188.5 px,22662.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2145
125,6422.5 px,6979.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Anhinga,JetportNew_03_29_2146
126,8141.5 px,8142.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Anhinga,JetportNew_03_29_2147
127,10244.5 px,11251.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Anhinga,JetportNew_03_29_2148
128,21435.5 px,20141.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Anhinga,JetportNew_03_29_2149
129,9017.5 px,8232.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2150
130,10879.5 px,9388.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2151
131,11023.5 px,9288.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2152
132,7759.5 px,8818.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2153
133,46524.5 px,19197.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2154
134,21725.5 px,19542.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2155
135,21515.5 px,19960.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2156
136,21593.5 px,20149.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2157
137,21505.5 px,20254.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2158
138,22374.5 px,19892.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2159
139,22451.5 px,19899.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2160
140,22737.5 px,20047.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2161
141,25292.5 px,20646.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2162
142,25346.5 px,20746.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2163
143,25508.5 px,20605.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2164
144,25614.5 px,21051.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2165
145,25659.5 px,21112.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2166
146,25795.5 px,21173.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2167
147,21937.5 px,20789.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2168
148,22680.5 px,20772.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2169
149,22731.5 px,20915.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2170
150,22799.5 px,20877.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2171
151,22821.5 px,20987.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2172
152,22723.5 px,21030.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2173
153,23313.5 px,21426.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2174
154,23698.5 px,21492.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2175
155,23885.5 px,21568.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2176
156,23657.5 px,21779.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2177
157,20943.5 px,20689.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2178
158,21076.5 px,20759.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2179
159,21215.5 px,21241.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2180
160,19606.5 px,22943.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2181
161,19754.5 px,22912.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2182
162,19665.5 px,22940.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2183
163,20380.5 px,23046.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2184
164,23522.5 px,23269.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2185
165,23751.5 px,23581.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2186
166,23401.5 px,23820.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2187
167,23752.5 px,23993.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2188
168,22055.5 px,23862.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2189
169,21941.5 px,24114.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2190
170,21781.5 px,24068.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2191
171,21787.5 px,23941.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2192
172,21790.5 px,23908.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2193
173,21469.5 px,24147.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2194
174,21378.5 px,24139.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2195
175,21449.5 px,23957.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2196
176,21381.5 px,23997.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2197
177,20779.5 px,23497.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2198
178,20731.5 px,23376.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2199
179,20790.5 px,23285.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2200
180,20161.5 px,23796.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2201
181,21170.5 px,24699.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2202
182,21146.5 px,24441.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2203
183,21558.5 px,24470.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2204
184,25908.5 px,25688.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Wood Stork,JetportNew_03_29_2205
185,10973.5 px,8299.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2206
186,8224.5 px,8832.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2207
187,8877.5 px,8949.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2208
188,9219.5 px,11739.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2209
189,9131.5 px,11817.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2210
190,8984.5 px,11752.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2211
191,11680.5 px,10715.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2212
192,11689.5 px,10768.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2213
193,9239.5 px,13440.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2214
194,8287.5 px,14947.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2215
195,9946.5 px,15373.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2216
196,24737.5 px,21169.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2217
197,24881.5 px,21223.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2218
198,24886.5 px,21115.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2219
199,24794.5 px,21057.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2220
200,24797.5 px,21174.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2221
201,23124.5 px,20966.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2222
202,23128.5 px,21607.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2223
203,21178.5 px,22645.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2224
204,22889.5 px,22988.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2225
205,22882.5 px,23112.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2226
206,21916.5 px,22994.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2227
207,24448.5 px,22832.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2228
208,24389.5 px,22861.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2229
209,23837.5 px,23625.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2230
210,22628.5 px,23434.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2231
211,22425.5 px,23438.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2232
212,19896.5 px,23684.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2233
213,19899.5 px,23737.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2234
214,8912.5 px,10443.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2235
215,8950.5 px,10384.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2236
216,9923.5 px,10744.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2237
217,9928.5 px,10816.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2238
218,8917.5 px,12200.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2239
219,8967.5 px,12240.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2240
220,23898.5 px,18035.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2241
221,23926.5 px,18049.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Roseate Spoonbill,JetportNew_03_29_2242
222,12672.5 px,11774.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2243
223,13049.5 px,11291.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2244
224,11346.5 px,12159.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2245
225,12236.5 px,12474.5 px,[Document JetportNew_03_29_2022_Counted_MB.psb],Great Egret,JetportNew_03_29_2246
